Volume	water	STD1	STD 3	Sample
6.733	-12.8869	-3533.87	-3515.04	-3527.23
6.750	-12.9117	-3533.23	-3515.6	-3526.6
6.767	-12.9783	-3533.11	-3516.63	-3526.96
6.783	-13.8598	-3534.54	-3516.28	-3527.12
6.800	-14.519	-3534.42	-3515.56	-3528.52
6.817	-14.5047	-3533.57	-3514.78	-3527.73
6.833	-16.2374	-3534.62	-3513.97	-3527.29
6.850	-17.0046	-3533.61	-3513.41	-3527.81
6.867	-18.2771	-3534.55	-3512.25	-3528.62
6.883	-19.2099	-3534.24	-3511.8	-3527.3
6.900	-19.1025	-3533.39	-3512.37	-3527.66
6.917	-19.2458	-3533.2	-3511.63	-3527.57
6.933	-20.0889	-3533.45	-3511.22	-3529.5
6.950	-20.5329	-3533.37	-3511.2	-3528.94
6.967	-20.735	-3532.61	-3511.24	-3528.15
6.983	-20.8862	-3534.21	-3511.61	-3528.82
7.000	-21.3324	-3533.75	-3512.1	-3527.42
7.017	-21.5606	-3534.66	-3511.66	-3528.54
7.033	-23.3247	-3533.44	-3511.21	-3530.07
7.050	-24.27	-3533.33	-3511.27	-3530.89
7.067	-25.0635	-3533.23	-3510.86	-3530.42
7.083	-25.1204	-3533.33	-3510.57	-3530.81
7.100	-24.4085	-3534.13	-3511.59	-3530.22
7.117	-24.8413	-3534.41	-3512.57	-3529.97
7.133	-25.9827	-3534.73	-3511.4	-3529.77
7.150	-27.5457	-3534.32	-3509.85	-3530.08
7.167	-28.5084	-3533.77	-3509.95	-3529.62
7.183	-29.1127	-3535.33	-3510.65	-3529.68
7.200	-30.6937	-3535.58	-3510.39	-3529.38
7.217	-30.1012	-3534.34	-3509.46	-3530.91
7.233	-29.7009	-3534.69	-3509.13	-3531.38
7.250	-31.313	-3536.2	-3510.48	-3529.52
7.267	-31.9993	-3535.71	-3510.59	-3529.11
7.283	-32.7141	-3534.01	-3510.36	-3531.19
7.300	-33.0424	-3535.18	-3511.06	-3532.39
7.317	-34.9915	-3535.15	-3510.77	-3530.26
7.333	-36.6985	-3535.03	-3510.34	-3530.14
7.350	-37.7986	-3535.78	-3510.94	-3530.82
7.367	-38.5459	-3535.57	-3511.19	-3532.68
7.383	-39.6822	-3535.31	-3511.09	-3532.52
7.400	-40.6285	-3534.11	-3509.99	-3531.75
7.417	-41.2946	-3533.92	-3508.7	-3530.56
7.433	-42.0174	-3533.22	-3507.52	-3530.08
7.450	-42.5151	-3533.4	-3506.21	-3528.88
7.467	-43.6617	-3534.0	-3505.72	-3530.22
7.483	-44.3805	-3534.93	-3505.46	-3531.97
7.500	-44.9478	-3534.82	-3505.76	-3531.35
7.517	-45.9561	-3535.22	-3504.69	-3531.85
7.533	-47.7705	-3535.5	-3503.41	-3530.21
7.550	-49.1266	-3535.01	-3503.76	-3529.96
7.567	-49.7699	-3536.01	-3504.05	-3530.71
7.583	-49.6942	-3535.66	-3504.03	-3529.14
7.600	-50.3675	-3536.85	-3504.74	-3530.47
7.617	-52.1102	-3536.52	-3505.65	-3530.47
7.633	-53.0707	-3537.68	-3505.83	-3529.8
7.650	-53.5393	-3537.13	-3506.01	-3529.15
7.667	-54.4118	-3537.42	-3505.33	-3530.22
7.683	-56.5976	-3538.05	-3505.33	-3529.5
7.700	-57.5034	-3538.17	-3506.0	-3529.47
7.717	-58.5027	-3538.4	-3505.81	-3530.28
7.733	-60.1966	-3537.86	-3505.32	-3529.74
7.750	-60.0366	-3538.21	-3505.39	-3529.96
7.767	-60.3401	-3537.89	-3505.64	-3530.51
7.783	-61.1438	-3538.22	-3505.64	-3529.15
7.800	-62.7343	-3537.77	-3506.07	-3530.26
7.817	-63.8675	-3538.11	-3506.21	-3530.04
7.833	-64.1633	-3538.49	-3505.41	-3529.46
7.850	-64.6162	-3539.42	-3504.43	-3529.11
7.867	-65.3674	-3539.49	-3504.54	-3529.3
7.883	-66.0372	-3538.76	-3504.46	-3530.01
7.900	-67.2486	-3537.01	-3504.13	-3529.97
7.917	-67.9702	-3536.93	-3503.74	-3530.57
7.933	-68.9912	-3537.24	-3502.91	-3530.17
7.950	-69.2259	-3536.77	-3501.85	-3529.68
7.967	-69.1725	-3538.74	-3501.76	-3528.0
7.983	-69.7034	-3537.42	-3501.51	-3527.23
8.000	-70.0454	-3538.44	-3501.77	-3528.8
8.017	-70.1667	-3537.62	-3502.13	-3529.33
8.033	-71.466	-3537.1	-3501.27	-3527.27
8.050	-72.9559	-3537.95	-3500.66	-3526.01
8.067	-74.7575	-3536.89	-3500.34	-3527.08
8.083	-75.4939	-3535.3	-3500.32	-3526.82
8.100	-74.1444	-3536.35	-3500.73	-3527.18
8.117	-75.101	-3537.77	-3499.73	-3527.65
8.133	-77.561	-3536.89	-3498.93	-3527.21
8.150	-78.0946	-3535.83	-3500.01	-3525.36
8.167	-78.0646	-3535.92	-3500.68	-3525.24
8.183	-79.2932	-3536.75	-3500.55	-3526.32
8.200	-79.9278	-3536.46	-3500.97	-3525.81
8.217	-79.9148	-3537.04	-3501.64	-3524.56
8.233	-80.2019	-3537.53	-3502.45	-3523.81
8.250	-80.734	-3537.54	-3502.34	-3524.68
8.267	-81.7459	-3536.11	-3502.68	-3524.49
8.283	-83.0095	-3536.95	-3503.33	-3524.75
8.300	-83.6557	-3537.64	-3502.93	-3522.97
8.317	-85.1487	-3537.57	-3501.88	-3521.36
8.333	-86.6807	-3538.29	-3501.25	-3522.16
8.350	-86.5636	-3537.11	-3501.28	-3523.15
8.367	-87.4105	-3537.48	-3501.72	-3523.01
8.383	-89.0816	-3537.15	-3501.71	-3521.98
8.400	-89.4127	-3537.79	-3501.84	-3523.37
8.417	-90.5059	-3538.15	-3501.64	-3522.93
8.433	-91.4689	-3536.93	-3501.4	-3524.2
8.450	-91.9031	-3536.24	-3502.09	-3521.64
8.467	-92.2707	-3536.25	-3503.16	-3520.92
8.483	-93.4096	-3537.0	-3503.49	-3522.64
8.500	-94.7639	-3535.41	-3502.97	-3522.23
8.517	-95.3368	-3534.61	-3502.3	-3522.22
8.533	-95.3164	-3534.09	-3501.9	-3523.37
8.550	-95.9384	-3534.95	-3502.03	-3523.58
8.567	-96.8602	-3533.58	-3502.65	-3522.35
8.583	-97.6548	-3533.87	-3502.77	-3521.05
8.600	-98.0455	-3534.78	-3502.84	-3520.56
8.617	-98.5167	-3535.82	-3502.02	-3521.99
8.633	-99.0515	-3534.58	-3501.51	-3521.73
8.650	-99.9456	-3533.58	-3501.49	-3522.82
8.667	-101.027	-3534.24	-3501.31	-3521.66
8.683	-102.208	-3534.13	-3501.0	-3521.84
