File Path	chrom://pc-9x9lfs2/ChromeleonLocal/Instrument Data/ICS-6000/Sequence/MD18-Full.seq/676.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	water
Injection Number	36
Position	BA1
Comment	
Processing Method	Processing
Instrument Method	Starches_Martens et al. 2018
Type	Unknown
Status	Finished
Injection Date	30-1-2020
Injection Time	20:57:56
Injection Volume (µl)	10.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	70.000000
Data Points	8401
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2.239250
Signal Max.	3.238400
Channel	ED_1
Driver Name	DC-6000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
59.925000	0.5	-1.912700
59.933333	0.5	-1.913500
59.941667	0.5	-1.912900
59.950000	0.5	-1.912800
59.958333	0.5	-1.916050
59.966667	0.5	-1.915250
59.975000	0.5	-1.913900
59.983333	0.5	-1.914850
59.991667	0.5	-1.915850
60.000000	0.5	-1.916150
60.008333	0.5	-1.914400
60.016667	0.5	-1.914950
60.025000	0.5	-1.914800
60.033333	0.5	-1.915450
60.041667	0.5	-1.918250
60.050000	0.5	-1.920300
60.058333	0.5	-1.918300
60.066667	0.5	-1.919350
60.075000	0.5	-1.918450
60.083333	0.5	-1.919400
60.091667	0.5	-1.918900
60.100000	0.5	-1.923250
60.108333	0.5	-1.922150
60.116667	0.5	-1.924400
60.125000	0.5	-1.924000
60.133333	0.5	-1.925200
60.141667	0.5	-1.925200
60.150000	0.5	-1.926250
60.158333	0.5	-1.926050
60.166667	0.5	-1.925950
60.175000	0.5	-1.927450
60.183333	0.5	-1.928500
60.191667	0.5	-1.927850
60.200000	0.5	-1.926900
60.208333	0.5	-1.928850
60.216667	0.5	-1.931000
60.225000	0.5	-1.930850
60.233333	0.5	-1.930750
60.241667	0.5	-1.931550
60.250000	0.5	-1.931000
60.258333	0.5	-1.930050
60.266667	0.5	-1.929100
60.275000	0.5	-1.930350
60.283333	0.5	-1.930700
60.291667	0.5	-1.930550
60.300000	0.5	-1.932000
60.308333	0.5	-1.933100
60.316667	0.5	-1.932150
60.325000	0.5	-1.932500
60.333333	0.5	-1.934400
60.341667	0.5	-1.934150
60.350000	0.5	-1.936850
60.358333	0.5	-1.935300
60.366667	0.5	-1.935500
60.375000	0.5	-1.937600
60.383333	0.5	-1.935700
60.391667	0.5	-1.937600
60.400000	0.5	-1.938400
60.408333	0.5	-1.938550
60.416667	0.5	-1.939400
60.425000	0.5	-1.940100
60.433333	0.5	-1.940900
60.441667	0.5	-1.940150
60.450000	0.5	-1.941550
60.458333	0.5	-1.940050
60.466667	0.5	-1.943300
60.475000	0.5	-1.943600
60.483333	0.5	-1.944250
60.491667	0.5	-1.944100
60.500000	0.5	-1.945850
60.508333	0.5	-1.943800
60.516667	0.5	-1.942450
60.525000	0.5	-1.943800
60.533333	0.5	-1.944150
60.541667	0.5	-1.943900
60.550000	0.5	-1.943900
60.558333	0.5	-1.945050
60.566667	0.5	-1.944700
60.575000	0.5	-1.946900
60.583333	0.5	-1.944900
60.591667	0.5	-1.946800
60.600000	0.5	-1.947900
60.608333	0.5	-1.949700
60.616667	0.5	-1.949250
60.625000	0.5	-1.949450
60.633333	0.5	-1.951900
60.641667	0.5	-1.951750
60.650000	0.5	-1.952100
60.658333	0.5	-1.951450
60.666667	0.5	-1.952150
60.675000	0.5	-1.952000
60.683333	0.5	-1.953000
60.691667	0.5	-1.953900
60.700000	0.5	-1.953400
60.708333	0.5	-1.952100
60.716667	0.5	-1.953900
60.725000	0.5	-1.954250
60.733333	0.5	-1.955450
60.741667	0.5	-1.954550
60.750000	0.5	-1.955950
60.758333	0.5	-1.956000
60.766667	0.5	-1.953500
60.775000	0.5	-1.952900
60.783333	0.5	-1.952000
60.791667	0.5	-1.952500
60.800000	0.5	-1.951750
60.808333	0.5	-1.952950
60.816667	0.5	-1.954400
60.825000	0.5	-1.954400
60.833333	0.5	-1.954950
60.841667	0.5	-1.954900
60.850000	0.5	-1.954500
60.858333	0.5	-1.955950
60.866667	0.5	-1.954900
60.875000	0.5	-1.957350
60.883333	0.5	-1.960550
60.891667	0.5	-1.961500
60.900000	0.5	-1.958950
60.908333	0.5	-1.957800
60.916667	0.5	-1.959350
60.925000	0.5	-1.958700
60.933333	0.5	-1.958500
60.941667	0.5	-1.958150
60.950000	0.5	-1.957000
60.958333	0.5	-1.955450
60.966667	0.5	-1.956850
60.975000	0.5	-1.956700
60.983333	0.5	-1.958750
60.991667	0.5	-1.957600
61.000000	0.5	-1.957750
61.008333	0.5	-1.957800
61.016667	0.5	-1.957450
61.025000	0.5	-1.953600
61.033333	0.5	-1.953400
61.041667	0.5	-1.954650
61.050000	0.5	-1.953250
61.058333	0.5	-1.954450
61.066667	0.5	-1.953750
61.075000	0.5	-1.953750
61.083333	0.5	-1.955100
61.091667	0.5	-1.956300
61.100000	0.5	-1.956550
61.108333	0.5	-1.956950
61.116667	0.5	-1.955900
61.125000	0.5	-1.957700
61.133333	0.5	-1.960700
61.141667	0.5	-1.960050
61.150000	0.5	-1.959900
61.158333	0.5	-1.962150
61.166667	0.5	-1.962150
61.175000	0.5	-1.961300
61.183333	0.5	-1.963350
61.191667	0.5	-1.963650
61.200000	0.5	-1.963000
61.208333	0.5	-1.962550
61.216667	0.5	-1.961200
61.225000	0.5	-1.963950
61.233333	0.5	-1.965650
61.241667	0.5	-1.965500
61.250000	0.5	-1.965700
61.258333	0.5	-1.966850
61.266667	0.5	-1.967000
61.275000	0.5	-1.965650
61.283333	0.5	-1.966150
61.291667	0.5	-1.964100
61.300000	0.5	-1.966500
61.308333	0.5	-1.966900
61.316667	0.5	-1.966000
61.325000	0.5	-1.969150
61.333333	0.5	-1.968700
61.341667	0.5	-1.968900
61.350000	0.5	-1.970400
61.358333	0.5	-1.971000
61.366667	0.5	-1.970600
61.375000	0.5	-1.972650
61.383333	0.5	-1.972800
61.391667	0.5	-1.974850
61.400000	0.5	-1.974950
61.408333	0.5	-1.975950
61.416667	0.5	-1.975700
61.425000	0.5	-1.976500
61.433333	0.5	-1.976900
61.441667	0.5	-1.977600
61.450000	0.5	-1.977700
61.458333	0.5	-1.978450
61.466667	0.5	-1.978800
61.475000	0.5	-1.976950
61.483333	0.5	-1.980050
61.491667	0.5	-1.981850
61.500000	0.5	-1.981900
61.508333	0.5	-1.981800
61.516667	0.5	-1.982750
61.525000	0.5	-1.983450
61.533333	0.5	-1.983200
61.541667	0.5	-1.982000
61.550000	0.5	-1.981100
61.558333	0.5	-1.984050
61.566667	0.5	-1.983350
61.575000	0.5	-1.984450
61.583333	0.5	-1.983850
61.591667	0.5	-1.987300
61.600000	0.5	-1.986450
61.608333	0.5	-1.988400
61.616667	0.5	-1.988500
61.625000	0.5	-1.988850
61.633333	0.5	-1.990000
61.641667	0.5	-1.988600
61.650000	0.5	-1.989500
61.658333	0.5	-1.991900
61.666667	0.5	-1.993500
61.675000	0.5	-1.991750
61.683333	0.5	-1.993200
61.691667	0.5	-1.994250
61.700000	0.5	-1.995800
61.708333	0.5	-1.996700
61.716667	0.5	-1.995650
61.725000	0.5	-1.993450
61.733333	0.5	-1.996500
61.741667	0.5	-1.999000
61.750000	0.5	-1.999500
61.758333	0.5	-2.000300
61.766667	0.5	-2.001400
61.775000	0.5	-2.003150
61.783333	0.5	-2.000350
61.791667	0.5	-2.001550
61.800000	0.5	-1.998650
61.808333	0.5	-2.000600
61.816667	0.5	-2.000850
61.825000	0.5	-2.002500
61.833333	0.5	-2.003750
61.841667	0.5	-2.006700
61.850000	0.5	-2.004200
61.858333	0.5	-2.006800
61.866667	0.5	-2.008300
61.875000	0.5	-2.009700
61.883333	0.5	-2.010450
61.891667	0.5	-2.012150
61.900000	0.5	-2.015600
61.908333	0.5	-2.015500
61.916667	0.5	-2.015350
61.925000	0.5	-2.015950
61.933333	0.5	-2.018500
61.941667	0.5	-2.019600
61.950000	0.5	-2.019200
61.958333	0.5	-2.019700
61.966667	0.5	-2.020050
61.975000	0.5	-2.020050
61.983333	0.5	-2.021600
61.991667	0.5	-2.022350
62.000000	0.5	-2.024850
62.008333	0.5	-2.025550
62.016667	0.5	-2.024600
62.025000	0.5	-2.025600
62.033333	0.5	-2.027900
62.041667	0.5	-2.025450
62.050000	0.5	-2.025600
62.058333	0.5	-2.025550
62.066667	0.5	-2.025650
62.075000	0.5	-2.025550
62.083333	0.5	-2.027400
62.091667	0.5	-2.028200
62.100000	0.5	-2.029200
62.108333	0.5	-2.028600
62.116667	0.5	-2.030100
62.125000	0.5	-2.030500
62.133333	0.5	-2.030350
62.141667	0.5	-2.032600
62.150000	0.5	-2.032950
62.158333	0.5	-2.032600
62.166667	0.5	-2.032950
62.175000	0.5	-2.035800
62.183333	0.5	-2.034500
62.191667	0.5	-2.035000
62.200000	0.5	-2.034100
62.208333	0.5	-2.034950
62.216667	0.5	-2.034500
62.225000	0.5	-2.036200
62.233333	0.5	-2.035350
62.241667	0.5	-2.034700
62.250000	0.5	-2.036400
62.258333	0.5	-2.036800
62.266667	0.5	-2.037450
62.275000	0.5	-2.038350
62.283333	0.5	-2.040050
62.291667	0.5	-2.038250
62.300000	0.5	-2.036900
62.308333	0.5	-2.037900
62.316667	0.5	-2.038000
62.325000	0.5	-2.038900
62.333333	0.5	-2.037850
62.341667	0.5	-2.039400
62.350000	0.5	-2.040000
62.358333	0.5	-2.039950
62.366667	0.5	-2.040150
62.375000	0.5	-2.041250
62.383333	0.5	-2.040700
62.391667	0.5	-2.041950
62.400000	0.5	-2.042350
62.408333	0.5	-2.042950
62.416667	0.5	-2.043350
62.425000	0.5	-2.044550
62.433333	0.5	-2.045000
62.441667	0.5	-2.044600
62.450000	0.5	-2.044800
62.458333	0.5	-2.045300
62.466667	0.5	-2.044350
62.475000	0.5	-2.044400
62.483333	0.5	-2.046250
62.491667	0.5	-2.045300
62.500000	0.5	-2.046600
62.508333	0.5	-2.047900
62.516667	0.5	-2.047750
62.525000	0.5	-2.047500
62.533333	0.5	-2.049100
62.541667	0.5	-2.047800
62.550000	0.5	-2.045650
62.558333	0.5	-2.046200
62.566667	0.5	-2.045200
62.575000	0.5	-2.046350
62.583333	0.5	-2.044700
62.591667	0.5	-2.045800
62.600000	0.5	-2.047800
62.608333	0.5	-2.047550
62.616667	0.5	-2.048500
62.625000	0.5	-2.049200
62.633333	0.5	-2.050250
62.641667	0.5	-2.050150
62.650000	0.5	-2.051250
62.658333	0.5	-2.051950
62.666667	0.5	-2.051900
62.675000	0.5	-2.052900
62.683333	0.5	-2.053050
62.691667	0.5	-2.054150
62.700000	0.5	-2.054150
62.708333	0.5	-2.054900
62.716667	0.5	-2.054850
62.725000	0.5	-2.054750
62.733333	0.5	-2.056100
62.741667	0.5	-2.054200
62.750000	0.5	-2.055200
62.758333	0.5	-2.057300
62.766667	0.5	-2.056550
62.775000	0.5	-2.058300
62.783333	0.5	-2.057250
62.791667	0.5	-2.057550
62.800000	0.5	-2.058700
62.808333	0.5	-2.057350
62.816667	0.5	-2.057050
62.825000	0.5	-2.056650
62.833333	0.5	-2.057000
62.841667	0.5	-2.056200
62.850000	0.5	-2.058000
62.858333	0.5	-2.058000
62.866667	0.5	-2.059300
62.875000	0.5	-2.059700
62.883333	0.5	-2.060350
62.891667	0.5	-2.059550
62.900000	0.5	-2.061450
62.908333	0.5	-2.060400
62.916667	0.5	-2.062850
62.925000	0.5	-2.062250
62.933333	0.5	-2.063100
62.941667	0.5	-2.063000
62.950000	0.5	-2.062650
62.958333	0.5	-2.063250
62.966667	0.5	-2.065000
62.975000	0.5	-2.063850
62.983333	0.5	-2.063050
62.991667	0.5	-2.063250
63.000000	0.5	-2.062750
63.008333	0.5	-2.063650
63.016667	0.5	-2.065300
63.025000	0.5	-2.065300
63.033333	0.5	-2.065650
63.041667	0.5	-2.066400
63.050000	0.5	-2.066350
63.058333	0.5	-2.066500
63.066667	0.5	-2.064300
63.075000	0.5	-2.066650
63.083333	0.5	-2.067250
63.091667	0.5	-2.066350
63.100000	0.5	-2.067450
63.108333	0.5	-2.068400
63.116667	0.5	-2.069000
63.125000	0.5	-2.069750
63.133333	0.5	-2.069850
63.141667	0.5	-2.070950
63.150000	0.5	-2.072500
63.158333	0.5	-2.072300
63.166667	0.5	-2.074000
63.175000	0.5	-2.072950
63.183333	0.5	-2.074650
63.191667	0.5	-2.077200
63.200000	0.5	-2.077950
63.208333	0.5	-2.077850
63.216667	0.5	-2.077250
63.225000	0.5	-2.078100
63.233333	0.5	-2.076550
63.241667	0.5	-2.079200
63.250000	0.5	-2.077200
63.258333	0.5	-2.077450
63.266667	0.5	-2.078950
63.275000	0.5	-2.081000
63.283333	0.5	-2.081450
63.291667	0.5	-2.082750
63.300000	0.5	-2.083450
63.308333	0.5	-2.083100
63.316667	0.5	-2.080000
63.325000	0.5	-2.080500
63.333333	0.5	-2.080600
63.341667	0.5	-2.081000
63.350000	0.5	-2.081900
63.358333	0.5	-2.081250
63.366667	0.5	-2.081750
63.375000	0.5	-2.083300
63.383333	0.5	-2.083700
63.391667	0.5	-2.084100
63.400000	0.5	-2.083850
63.408333	0.5	-2.085050
63.416667	0.5	-2.086100
63.425000	0.5	-2.086300
63.433333	0.5	-2.089300
63.441667	0.5	-2.087600
63.450000	0.5	-2.089100
63.458333	0.5	-2.088200
63.466667	0.5	-2.089000
