File Path	chrom://pc-9x9lfs2/ChromeleonLocal/Instrument Data/ICS-6000/Sequence/MD18-Full.seq/155.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	D-St9
Injection Number	6
Position	BA5
Comment	
Processing Method	Processing
Instrument Method	Starches_Martens et al. 2018
Type	Unknown
Status	Finished
Injection Date	29-1-2020
Injection Time	00:37:52
Injection Volume (µl)	10.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	70.000000
Data Points	8401
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1.513650
Signal Max.	362.192705
Channel	ED_1
Driver Name	DC-6000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
56.491667	0.5	-1.085100
56.500000	0.5	-1.083750
56.508333	0.5	-1.086450
56.516667	0.5	-1.086600
56.525000	0.5	-1.085700
56.533333	0.5	-1.085300
56.541667	0.5	-1.087600
56.550000	0.5	-1.088800
56.558333	0.5	-1.088600
56.566667	0.5	-1.087650
56.575000	0.5	-1.088750
56.583333	0.5	-1.091200
56.591667	0.5	-1.091500
56.600000	0.5	-1.088950
56.608333	0.5	-1.089500
56.616667	0.5	-1.092050
56.625000	0.5	-1.091750
56.633333	0.5	-1.094150
56.641667	0.5	-1.092100
56.650000	0.5	-1.096100
56.658333	0.5	-1.093950
56.666667	0.5	-1.094000
56.675000	0.5	-1.092350
56.683333	0.5	-1.092750
56.691667	0.5	-1.092450
56.700000	0.5	-1.092600
56.708333	0.5	-1.091700
56.716667	0.5	-1.091950
56.725000	0.5	-1.093250
56.733333	0.5	-1.093850
56.741667	0.5	-1.094450
56.750000	0.5	-1.094850
56.758333	0.5	-1.095300
56.766667	0.5	-1.096150
56.775000	0.5	-1.097950
56.783333	0.5	-1.099700
56.791667	0.5	-1.099250
56.800000	0.5	-1.100200
56.808333	0.5	-1.101300
56.816667	0.5	-1.100850
56.825000	0.5	-1.102650
56.833333	0.5	-1.104800
56.841667	0.5	-1.102850
56.850000	0.5	-1.103200
56.858333	0.5	-1.104400
56.866667	0.5	-1.102600
56.875000	0.5	-1.105600
56.883333	0.5	-1.106400
56.891667	0.5	-1.107250
56.900000	0.5	-1.106650
56.908333	0.5	-1.107200
56.916667	0.5	-1.107600
56.925000	0.5	-1.104950
56.933333	0.5	-1.105450
56.941667	0.5	-1.106800
56.950000	0.5	-1.104850
56.958333	0.5	-1.105600
56.966667	0.5	-1.106850
56.975000	0.5	-1.107950
56.983333	0.5	-1.108150
56.991667	0.5	-1.108350
57.000000	0.5	-1.107550
57.008333	0.5	-1.110050
57.016667	0.5	-1.111300
57.025000	0.5	-1.110750
57.033333	0.5	-1.112300
57.041667	0.5	-1.112650
57.050000	0.5	-1.113900
57.058333	0.5	-1.113700
57.066667	0.5	-1.115100
57.075000	0.5	-1.117500
57.083333	0.5	-1.117200
57.091667	0.5	-1.117850
57.100000	0.5	-1.116350
57.108333	0.5	-1.117450
57.116667	0.5	-1.116950
57.125000	0.5	-1.115450
57.133333	0.5	-1.118100
57.141667	0.5	-1.119950
57.150000	0.5	-1.119650
57.158333	0.5	-1.120750
57.166667	0.5	-1.122050
57.175000	0.5	-1.121150
57.183333	0.5	-1.120900
57.191667	0.5	-1.119000
57.200000	0.5	-1.120650
57.208333	0.5	-1.120600
57.216667	0.5	-1.120250
57.225000	0.5	-1.121100
57.233333	0.5	-1.123250
57.241667	0.5	-1.122100
57.250000	0.5	-1.123250
57.258333	0.5	-1.123300
57.266667	0.5	-1.123000
57.275000	0.5	-1.125700
57.283333	0.5	-1.127150
57.291667	0.5	-1.128200
57.300000	0.5	-1.128550
57.308333	0.5	-1.127900
57.316667	0.5	-1.130100
57.325000	0.5	-1.130300
57.333333	0.5	-1.130300
57.341667	0.5	-1.130200
57.350000	0.5	-1.130700
57.358333	0.5	-1.133100
57.366667	0.5	-1.132650
57.375000	0.5	-1.130100
57.383333	0.5	-1.132400
57.391667	0.5	-1.134450
57.400000	0.5	-1.134800
57.408333	0.5	-1.136900
57.416667	0.5	-1.135350
57.425000	0.5	-1.136700
57.433333	0.5	-1.135100
57.441667	0.5	-1.134250
57.450000	0.5	-1.134400
57.458333	0.5	-1.134100
57.466667	0.5	-1.134300
57.475000	0.5	-1.135100
57.483333	0.5	-1.134500
57.491667	0.5	-1.135000
57.500000	0.5	-1.134800
57.508333	0.5	-1.136700
57.516667	0.5	-1.136450
57.525000	0.5	-1.138150
57.533333	0.5	-1.139150
57.541667	0.5	-1.142300
57.550000	0.5	-1.141900
57.558333	0.5	-1.143000
57.566667	0.5	-1.141450
57.575000	0.5	-1.144200
57.583333	0.5	-1.143000
57.591667	0.5	-1.145250
57.600000	0.5	-1.145800
57.608333	0.5	-1.145800
57.616667	0.5	-1.146000
57.625000	0.5	-1.145800
57.633333	0.5	-1.144450
57.641667	0.5	-1.145450
57.650000	0.5	-1.146650
57.658333	0.5	-1.147900
57.666667	0.5	-1.147400
57.675000	0.5	-1.150000
57.683333	0.5	-1.150700
57.691667	0.5	-1.148550
57.700000	0.5	-1.146650
57.708333	0.5	-1.149050
57.716667	0.5	-1.147200
57.725000	0.5	-1.147900
57.733333	0.5	-1.150650
57.741667	0.5	-1.150350
57.750000	0.5	-1.150600
57.758333	0.5	-1.150200
57.766667	0.5	-1.149600
57.775000	0.5	-1.152100
57.783333	0.5	-1.152950
57.791667	0.5	-1.154500
57.800000	0.5	-1.157300
57.808333	0.5	-1.158200
57.816667	0.5	-1.158350
57.825000	0.5	-1.159400
57.833333	0.5	-1.159150
57.841667	0.5	-1.159600
57.850000	0.5	-1.160950
57.858333	0.5	-1.160800
57.866667	0.5	-1.160950
57.875000	0.5	-1.160750
57.883333	0.5	-1.160050
57.891667	0.5	-1.160000
57.900000	0.5	-1.162800
57.908333	0.5	-1.163750
57.916667	0.5	-1.164500
57.925000	0.5	-1.163600
57.933333	0.5	-1.163450
57.941667	0.5	-1.163850
57.950000	0.5	-1.162450
57.958333	0.5	-1.163150
57.966667	0.5	-1.163250
57.975000	0.5	-1.163400
57.983333	0.5	-1.163550
57.991667	0.5	-1.163850
58.000000	0.5	-1.166150
58.008333	0.5	-1.164800
58.016667	0.5	-1.168050
58.025000	0.5	-1.166950
58.033333	0.5	-1.166750
58.041667	0.5	-1.169150
58.050000	0.5	-1.168950
58.058333	0.5	-1.170850
58.066667	0.5	-1.172050
58.075000	0.5	-1.172950
58.083333	0.5	-1.172650
58.091667	0.5	-1.174550
58.100000	0.5	-1.174400
58.108333	0.5	-1.174400
58.116667	0.5	-1.174900
58.125000	0.5	-1.174900
58.133333	0.5	-1.176550
58.141667	0.5	-1.176150
58.150000	0.5	-1.175950
58.158333	0.5	-1.179200
58.166667	0.5	-1.178550
58.175000	0.5	-1.179000
58.183333	0.5	-1.179900
58.191667	0.5	-1.179650
58.200000	0.5	-1.179950
58.208333	0.5	-1.178550
58.216667	0.5	-1.178800
58.225000	0.5	-1.178750
58.233333	0.5	-1.180000
58.241667	0.5	-1.180800
58.250000	0.5	-1.182300
58.258333	0.5	-1.181950
58.266667	0.5	-1.183150
58.275000	0.5	-1.183050
58.283333	0.5	-1.183750
58.291667	0.5	-1.184800
58.300000	0.5	-1.186800
58.308333	0.5	-1.187400
58.316667	0.5	-1.185800
58.325000	0.5	-1.187500
58.333333	0.5	-1.189450
58.341667	0.5	-1.190450
58.350000	0.5	-1.190850
58.358333	0.5	-1.189650
58.366667	0.5	-1.191700
58.375000	0.5	-1.192700
58.383333	0.5	-1.192750
58.391667	0.5	-1.192400
58.400000	0.5	-1.191200
58.408333	0.5	-1.194350
58.416667	0.5	-1.195400
58.425000	0.5	-1.197650
58.433333	0.5	-1.196300
58.441667	0.5	-1.198500
58.450000	0.5	-1.197100
58.458333	0.5	-1.195150
58.466667	0.5	-1.195200
58.475000	0.5	-1.196350
58.483333	0.5	-1.196100
58.491667	0.5	-1.197050
58.500000	0.5	-1.196150
58.508333	0.5	-1.198550
58.516667	0.5	-1.198800
58.525000	0.5	-1.199000
58.533333	0.5	-1.199350
58.541667	0.5	-1.199950
58.550000	0.5	-1.202350
58.558333	0.5	-1.203250
58.566667	0.5	-1.204400
58.575000	0.5	-1.206050
58.583333	0.5	-1.205800
58.591667	0.5	-1.206650
58.600000	0.5	-1.206350
58.608333	0.5	-1.207400
58.616667	0.5	-1.208400
58.625000	0.5	-1.209500
58.633333	0.5	-1.208700
58.641667	0.5	-1.207050
58.650000	0.5	-1.206700
58.658333	0.5	-1.208850
58.666667	0.5	-1.211850
58.675000	0.5	-1.212800
58.683333	0.5	-1.213400
58.691667	0.5	-1.214600
58.700000	0.5	-1.214850
58.708333	0.5	-1.214600
58.716667	0.5	-1.213550
58.725000	0.5	-1.212650
58.733333	0.5	-1.213800
58.741667	0.5	-1.212500
58.750000	0.5	-1.216650
58.758333	0.5	-1.217000
58.766667	0.5	-1.215450
58.775000	0.5	-1.217250
58.783333	0.5	-1.216450
58.791667	0.5	-1.219150
58.800000	0.5	-1.218600
58.808333	0.5	-1.219200
58.816667	0.5	-1.221300
58.825000	0.5	-1.220400
58.833333	0.5	-1.220800
58.841667	0.5	-1.220800
58.850000	0.5	-1.221850
58.858333	0.5	-1.222100
58.866667	0.5	-1.223950
58.875000	0.5	-1.225600
58.883333	0.5	-1.225650
58.891667	0.5	-1.226100
58.900000	0.5	-1.225450
58.908333	0.5	-1.224600
58.916667	0.5	-1.226600
58.925000	0.5	-1.228750
58.933333	0.5	-1.228100
58.941667	0.5	-1.229700
58.950000	0.5	-1.230200
58.958333	0.5	-1.230950
58.966667	0.5	-1.228750
58.975000	0.5	-1.226650
58.983333	0.5	-1.227850
58.991667	0.5	-1.229450
59.000000	0.5	-1.228050
59.008333	0.5	-1.231000
59.016667	0.5	-1.230300
59.025000	0.5	-1.232400
59.033333	0.5	-1.232300
59.041667	0.5	-1.231700
59.050000	0.5	-1.231900
59.058333	0.5	-1.233800
59.066667	0.5	-1.235800
59.075000	0.5	-1.237200
59.083333	0.5	-1.239750
59.091667	0.5	-1.238800
59.100000	0.5	-1.239450
59.108333	0.5	-1.239400
59.116667	0.5	-1.240750
59.125000	0.5	-1.241150
59.133333	0.5	-1.238950
59.141667	0.5	-1.239250
59.150000	0.5	-1.240800
59.158333	0.5	-1.240750
59.166667	0.5	-1.239250
59.175000	0.5	-1.243400
59.183333	0.5	-1.243500
59.191667	0.5	-1.243550
59.200000	0.5	-1.245950
59.208333	0.5	-1.245500
59.216667	0.5	-1.244950
59.225000	0.5	-1.243350
59.233333	0.5	-1.242900
59.241667	0.5	-1.243150
59.250000	0.5	-1.241450
59.258333	0.5	-1.244350
59.266667	0.5	-1.244000
59.275000	0.5	-1.244350
59.283333	0.5	-1.247100
59.291667	0.5	-1.247350
59.300000	0.5	-1.248150
59.308333	0.5	-1.250050
59.316667	0.5	-1.247550
59.325000	0.5	-1.251100
59.333333	0.5	-1.249900
59.341667	0.5	-1.251300
59.350000	0.5	-1.252900
59.358333	0.5	-1.252000
59.366667	0.5	-1.253750
59.375000	0.5	-1.252400
59.383333	0.5	-1.254250
59.391667	0.5	-1.254650
59.400000	0.5	-1.256650
59.408333	0.5	-1.254450
59.416667	0.5	-1.252050
59.425000	0.5	-1.254050
59.433333	0.5	-1.256150
59.441667	0.5	-1.257500
59.450000	0.5	-1.258300
59.458333	0.5	-1.257900
59.466667	0.5	-1.257100
59.475000	0.5	-1.256950
59.483333	0.5	-1.257000
59.491667	0.5	-1.255100
59.500000	0.5	-1.256450
59.508333	0.5	-1.255650
59.516667	0.5	-1.257900
59.525000	0.5	-1.256500
59.533333	0.5	-1.259000
59.541667	0.5	-1.259100
59.550000	0.5	-1.259850
59.558333	0.5	-1.259600
59.566667	0.5	-1.262700
59.575000	0.5	-1.262850
59.583333	0.5	-1.264150
59.591667	0.5	-1.266000
59.600000	0.5	-1.268250
59.608333	0.5	-1.265400
59.616667	0.5	-1.264500
59.625000	0.5	-1.268400
59.633333	0.5	-1.269700
59.641667	0.5	-1.268800
59.650000	0.5	-1.267100
59.658333	0.5	-1.268750
59.666667	0.5	-1.268150
59.675000	0.5	-1.266300
59.683333	0.5	-1.269650
59.691667	0.5	-1.270700
59.700000	0.5	-1.269700
59.708333	0.5	-1.270500
59.716667	0.5	-1.269950
59.725000	0.5	-1.272650
59.733333	0.5	-1.269200
59.741667	0.5	-1.269350
59.750000	0.5	-1.268400
59.758333	0.5	-1.268400
59.766667	0.5	-1.269100
59.775000	0.5	-1.269350
59.783333	0.5	-1.271600
59.791667	0.5	-1.271700
59.800000	0.5	-1.272400
59.808333	0.5	-1.272400
59.816667	0.5	-1.271750
59.825000	0.5	-1.273350
59.833333	0.5	-1.276750
59.841667	0.5	-1.275550
59.850000	0.5	-1.274900
59.858333	0.5	-1.277250
59.866667	0.5	-1.278150
59.875000	0.5	-1.278250
59.883333	0.5	-1.279050
59.891667	0.5	-1.280450
59.900000	0.5	-1.279200
59.908333	0.5	-1.278800
59.916667	0.5	-1.281000
59.925000	0.5	-1.278850
59.933333	0.5	-1.279850
59.941667	0.5	-1.281550
59.950000	0.5	-1.282100
59.958333	0.5	-1.282900
59.966667	0.5	-1.283850
59.975000	0.5	-1.282600
59.983333	0.5	-1.280850
59.991667	0.5	-1.280800
60.000000	0.5	-1.279950
60.008333	0.5	-1.280300
60.016667	0.5	-1.280150
60.025000	0.5	-1.280950
60.033333	0.5	-1.281800
60.041667	0.5	-1.282350
60.050000	0.5	-1.283050
60.058333	0.5	-1.283950
60.066667	0.5	-1.283850
60.075000	0.5	-1.284200
60.083333	0.5	-1.285800
60.091667	0.5	-1.286400
60.100000	0.5	-1.288350
60.108333	0.5	-1.288000
60.116667	0.5	-1.287800
60.125000	0.5	-1.291050
60.133333	0.5	-1.290900
60.141667	0.5	-1.290100
60.150000	0.5	-1.289000
60.158333	0.5	-1.290550
60.166667	0.5	-1.291700
60.175000	0.5	-1.292800
60.183333	0.5	-1.286950
60.191667	0.5	-1.291400
60.200000	0.5	-1.293400
60.208333	0.5	-1.292450
60.216667	0.5	-1.294450
60.225000	0.5	-1.294000
60.233333	0.5	-1.293300
60.241667	0.5	-1.292700
60.250000	0.5	-1.293050
60.258333	0.5	-1.291000
60.266667	0.5	-1.290850
60.275000	0.5	-1.292200
60.283333	0.5	-1.293600
60.291667	0.5	-1.293750
60.300000	0.5	-1.292500
