File Path	chrom://pc-9x9lfs2/ChromeleonLocal/Instrument Data/ICS-6000/Sequence/MD18-Full.seq/264.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	D-St7
Injection Number	4
Position	BA3
Comment	
Processing Method	Processing
Instrument Method	Starches_Martens et al. 2018
Type	Unknown
Status	Finished
Injection Date	28-1-2020
Injection Time	21:40:31
Injection Volume (µl)	10.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	70.000000
Data Points	8401
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1.515700
Signal Max.	1.026.175915
Channel	ED_1
Driver Name	DC-6000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
3.775000	0.5	0.250500
3.783333	0.5	0.247650
3.791667	0.5	0.250350
3.800000	0.5	0.247900
3.808333	0.5	0.248850
3.816667	0.5	0.249900
3.825000	0.5	0.250150
3.833333	0.5	0.252150
3.841667	0.5	0.254250
3.850000	0.5	0.252200
3.858333	0.5	0.253450
3.866667	0.5	0.252650
3.875000	0.5	0.254400
3.883333	0.5	0.253100
3.891667	0.5	0.251300
3.900000	0.5	0.248650
3.908333	0.5	0.247300
3.916667	0.5	0.242400
3.925000	0.5	0.241000
3.933333	0.5	0.240100
3.941667	0.5	0.236950
3.950000	0.5	0.235350
3.958333	0.5	0.234550
3.966667	0.5	0.233100
3.975000	0.5	0.232100
3.983333	0.5	0.229550
3.991667	0.5	0.228750
4.000000	0.5	0.231750
4.008333	0.5	0.227900
4.016667	0.5	0.224000
4.025000	0.5	0.222700
4.033333	0.5	0.222400
4.041667	0.5	0.222150
4.050000	0.5	0.218650
4.058333	0.5	0.219600
4.066667	0.5	0.219450
4.075000	0.5	0.217650
4.083333	0.5	0.218500
4.091667	0.5	0.215600
4.100000	0.5	0.214000
4.108333	0.5	0.213850
4.116667	0.5	0.212600
4.125000	0.5	0.213550
4.133333	0.5	0.210700
4.141667	0.5	0.211750
4.150000	0.5	0.211050
4.158333	0.5	0.209850
4.166667	0.5	0.210450
4.175000	0.5	0.209800
4.183333	0.5	0.207400
4.191667	0.5	0.208150
4.200000	0.5	0.209850
4.208333	0.5	0.208800
4.216667	0.5	0.208900
4.225000	0.5	0.208350
4.233333	0.5	0.207150
4.241667	0.5	0.209400
4.250000	0.5	0.208850
4.258333	0.5	0.207650
4.266667	0.5	0.205600
4.275000	0.5	0.200800
4.283333	0.5	0.200100
4.291667	0.5	0.197950
4.300000	0.5	0.195350
4.308333	0.5	0.193850
4.316667	0.5	0.192250
4.325000	0.5	0.194950
4.333333	0.5	0.190600
4.341667	0.5	0.190150
4.350000	0.5	0.191300
4.358333	0.5	0.190600
4.366667	0.5	0.188750
4.375000	0.5	0.190050
4.383333	0.5	0.190700
4.391667	0.5	0.193200
4.400000	0.5	0.193000
4.408333	0.5	0.192000
4.416667	0.5	0.191650
4.425000	0.5	0.191850
4.433333	0.5	0.192450
4.441667	0.5	0.193400
4.450000	0.5	0.195700
4.458333	0.5	0.195800
4.466667	0.5	0.196550
4.475000	0.5	0.197100
4.483333	0.5	0.198100
4.491667	0.5	0.198300
4.500000	0.5	0.197950
4.508333	0.5	0.198850
4.516667	0.5	0.199950
4.525000	0.5	0.194250
4.533333	0.5	0.192000
4.541667	0.5	0.190350
4.550000	0.5	0.187150
4.558333	0.5	0.185300
4.566667	0.5	0.183900
4.575000	0.5	0.184050
4.583333	0.5	0.182900
4.591667	0.5	0.183350
4.600000	0.5	0.184900
4.608333	0.5	0.184400
4.616667	0.5	0.186700
4.625000	0.5	0.189200
4.633333	0.5	0.194200
4.641667	0.5	0.201200
4.650000	0.5	0.210150
4.658333	0.5	0.221800
4.666667	0.5	0.236500
4.675000	0.5	0.255050
4.683333	0.5	0.281500
4.691667	0.5	0.320150
4.700000	0.5	0.369350
4.708333	0.5	0.432150
4.716667	0.5	0.508100
4.725000	0.5	0.601300
4.733333	0.5	0.714450
4.741667	0.5	0.847300
4.750000	0.5	1.003500
4.758333	0.5	1.172300
4.766667	0.5	1.357550
4.775000	0.5	1.559500
4.783333	0.5	1.762000
4.791667	0.5	1.969050
4.800000	0.5	2.171650
4.808333	0.5	2.358900
4.816667	0.5	2.528900
4.825000	0.5	2.669400
4.833333	0.5	2.783100
4.841667	0.5	2.854150
4.850000	0.5	2.882950
4.858333	0.5	2.869850
4.866667	0.5	2.813150
4.875000	0.5	2.716800
4.883333	0.5	2.589150
4.891667	0.5	2.429300
4.900000	0.5	2.251150
4.908333	0.5	2.056350
4.916667	0.5	1.855800
4.925000	0.5	1.656550
4.933333	0.5	1.460650
4.941667	0.5	1.279600
4.950000	0.5	1.113200
4.958333	0.5	0.960950
4.966667	0.5	0.824700
4.975000	0.5	0.711900
4.983333	0.5	0.614900
4.991667	0.5	0.535400
5.000000	0.5	0.467800
5.008333	0.5	0.412900
5.016667	0.5	0.370500
5.025000	0.5	0.339800
5.033333	0.5	0.307900
5.041667	0.5	0.285000
5.050000	0.5	0.269700
5.058333	0.5	0.254550
5.066667	0.5	0.245550
5.075000	0.5	0.234650
5.083333	0.5	0.230500
5.091667	0.5	0.228450
5.100000	0.5	0.228300
5.108333	0.5	0.227850
5.116667	0.5	0.233100
5.125000	0.5	0.239000
5.133333	0.5	0.247900
5.141667	0.5	0.257550
5.150000	0.5	0.274300
5.158333	0.5	0.293000
5.166667	0.5	0.317050
5.175000	0.5	0.344850
5.183333	0.5	0.377800
5.191667	0.5	0.415700
5.200000	0.5	0.458150
5.208333	0.5	0.504150
5.216667	0.5	0.554700
5.225000	0.5	0.606700
5.233333	0.5	0.660250
5.241667	0.5	0.713250
5.250000	0.5	0.763750
5.258333	0.5	0.812850
5.266667	0.5	0.855900
5.275000	0.5	0.893300
5.283333	0.5	0.929250
5.291667	0.5	0.947000
5.300000	0.5	0.959700
5.308333	0.5	0.965700
5.316667	0.5	0.964000
5.325000	0.5	0.951650
5.333333	0.5	0.931700
5.341667	0.5	0.907450
5.350000	0.5	0.878700
5.358333	0.5	0.843950
5.366667	0.5	0.806550
5.375000	0.5	0.769400
5.383333	0.5	0.729050
5.391667	0.5	0.690200
5.400000	0.5	0.653600
5.408333	0.5	0.619950
5.416667	0.5	0.588000
5.425000	0.5	0.560500
5.433333	0.5	0.534600
5.441667	0.5	0.513900
5.450000	0.5	0.496400
5.458333	0.5	0.482950
