Samples	water	D-St6	D-St7	D-St8	D-St9
25.125	-0.9016	-0.4638	-0.5434	-1.00275	-0.5669
25.133	-0.9012	-0.462	-0.54295	-1.00415	-0.56645
25.142	-0.90055	-0.45995	-0.5438	-1.00415	-0.56665
25.150	-0.90005	-0.45895	-0.54315	-1.00235	-0.5662
25.158	-0.89985	-0.4566	-0.54375	-1.00105	-0.5683
25.167	-0.8996	-0.45685	-0.54325	-0.999	-0.56885
25.175	-0.90245	-0.45505	-0.54405	-0.99955	-0.569
25.183	-0.9037	-0.4532	-0.54295	-0.9986	-0.5679
25.192	-0.90305	-0.4504	-0.5417	-0.9978	-0.56935
25.200	-0.904	-0.4504	-0.54045	-1.001	-0.56895
25.208	-0.90345	-0.45055	-0.54095	-0.99815	-0.56745
25.217	-0.90435	-0.44885	-0.53905	-0.998	-0.5666
25.225	-0.9021	-0.4471	-0.53945	-0.998	-0.5643
25.233	-0.90195	-0.44575	-0.53945	-0.9978	-0.5644
25.242	-0.9029	-0.44415	-0.53935	-0.9984	-0.56565
25.250	-0.90315	-0.44165	-0.5399	-0.9982	-0.5663
25.258	-0.9018	-0.4388	-0.5372	-1.00135	-0.56735
25.267	-0.90265	-0.43835	-0.54	-1.00155	-0.56625
25.275	-0.9029	-0.4361	-0.54045	-1.0012	-0.5678
25.283	-0.90475	-0.436	-0.54145	-0.99995	-0.5661
25.292	-0.90535	-0.4357	-0.5401	-0.99915	-0.5656
25.300	-0.90485	-0.43735	-0.5411	-0.99965	-0.5661
25.308	-0.9059	-0.438	-0.5419	-1.0009	-0.56745
25.317	-0.9064	-0.43765	-0.53905	-1.0006	-0.56835
25.325	-0.9082	-0.43675	-0.53995	-1.00015	-0.5689
25.333	-0.90945	-0.43805	-0.53965	-0.9996	-0.5681
25.342	-0.9078	-0.44025	-0.5385	-0.9982	-0.5669
25.350	-0.9096	-0.441	-0.54035	-1.00185	-0.56835
25.358	-0.9104	-0.443	-0.5398	-1.00235	-0.56935
25.367	-0.9115	-0.44625	-0.54135	-1.00475	-0.5694
25.375	-0.9099	-0.4457	-0.5425	-1.0037	-0.56865
